name,address,city,county,state,zip
People's Co-op Farmers Market,30th and Burnside,Portland,Multnomah,Oregon,97202
Silverdale Farmers Market,98383,Silverdale,Kitsap,Washington,98383
Dolgeville Farmer's Market,(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329
Preston Farmers’ Market,#1 Route 164,Preston,New London,Connecticut,
Quincy Farmers Market,0 Denis Ryan Parkway,Quincy,Norfolk,Massachusetts,2169
Jefferson City Farmer's Market,000 Main Street,Jefferson City,Cole,Missouri,0
Petaluma Evening Farmers' Market,1 2nd Street,Petaluma,Sonoma,California,94952
Charlestown Farmers Market,"1 Austin Street, Thompson Square at Austin & Main Streets",Boston,,Massachusetts,2129
Farmers Market at Christopher Newport University,1 Avenue of the Arts,Newport News,Newport News,Virginia,23606
Saratoga Farmers' Market,1 Bayberry Drive,Ballston Sp,Saratoga,New York,12020
Charles Square,"1 Bennett Street,",Cambridge,Middlesex,Massachusetts,2138
Coxsackie Farmers' Market,1 Betke Boulevard,Coxsackie,Greene,New York,12051
Otsiningo Park Farmers' Market,1 Bevier St,Binghamton,Broome,New York,13905
Hartford Farmers Market,1 Block North of Highway 60 on Rural Street,Hartford,Washington,Wisconsin,53027
Farmers Market in Denison,1 block west of Main St.,Denison,,Texas,75090
Riverside Farmers' Market,1 Burling Rd.,Riverside,Cook,Illinois,60546
Farmers Market in Camdenton,1 Camden Ct NW,Camdenton,Camden,Missouri,65020
Grand Valley State University Farmers Market,"1 Campus Drive, Parking Lot F",Allendale,Ottawa,Michigan,49504
Ringwood Farmers' Market,1 Cannici Drive,Ringwood,Passaic,New Jersey,7456
Scottdale Farmers Market,1 Centennial Way,Scottdale,Westmoreland,Pennsylvania,15683
TRAVELERS REST COMMUNITY FARMERS MARKET,1 Center Street,Travelers Rest,Greenville,South Carolina,29690
Farmers Market on the Westford Common,1 Common Rd,Westford,,Vermont,5494
Belington Farmers Market,1 County Highway 11,Belington,Barbour,West Virginia,25250
Plaza Marketplace,1 Courthouse Square,Hillsboro,,Illinois,62049
Cheyenne Farmers Market,1 Depot Plaza,Cheyenne,Laramie,Wyoming,82001
Pinckneyville Farmers Market,1 E Water St.,Pinckneyville,Perry,Illinois,62274
Skaneateles Farmers Market,1 East Austin Street,Skaneateles,Onondaga,New York,13152
